신공학관 2102,200,286
신공학관 2105,126,286
신공학관 2107,84,269
신공학관 2112,56,253
신공학관 2119,58,138
신공학관 2120,58,126
신공학관 2124,104,114
신공학관 2127,185,112
신공학관 2136,273,75
신공학관 2139,337,95
신공학관 2141,364,112
신공학관 2144,402,137
신공학관 2150,364,112
신공학관 2152,297,88
신공학관 2158,214,203
신공학관 2166,214,217
신공학관 2171,249,286
신공학관 2183,185,112
신공학관 2184,102,157
신공학관 2187,101,207
신공학관 2층 남쪽 갈림길 A,104,114
신공학관 2층 남쪽 갈림길 B,200,113
신공학관 2층 남쪽 계단 B,258,76
신공학관 2층 남쪽 엘리베이터 (남쪽 계단 A),215,75
신공학관 2층 남쪽 코너 A,60,115
신공학관 2층 남쪽 코너 B,200,76
신공학관 2층 남쪽 코너 C,299,75
신공학관 2층 남쪽 코너 D,331,87
신공학관 2층 북쪽 계단,212,286
신공학관 2층 북쪽 코너 A,55,270
신공학관 2층 북쪽 코너 B,98,270
신공학관 2층 북쪽 코너 C,98,286
신공학관 2층 중앙 계단,56,244
신공학관 2층 중앙 엘리베이터,77,269
신공학관 2층 중앙 코너 A,201,136
신공학관 2층 중앙 코너 B,214,138
신공학관 2층 화장실 갈림길 A,59,172
신공학관 2층 화장실 갈림길 B,102,172
신공학관 3101,208,284
신공학관 3106,151,284
신공학관 3107,106,284
신공학관 3114,63,220
신공학관 3115,63,204
신공학관 3121,108,97
신공학관 3125,139,67
신공학관 3127,174,67
신공학관 3128,185,67
신공학관 3133,281,67
신공학관 3136,344,88
신공학관 3138,369,105
신공학관 3139,380,113
신공학관 3140,395,125
신공학관 3141,409,135
신공학관 3142,409,135
신공학관 3147,344,88
신공학관 3152,251,139
신공학관 3153,251,150
신공학관 3155,251,182
신공학관 3157,251,216
신공학관 3159,251,250
신공학관 3163,185,283
신공학관 3165,151,283
신공학관 3166,136,283
신공학관 3169,108,185
신공학관 3173,108,110
신공학관 3178,108,97
신공학관 3182,174,67
신공학관 3183,281,67
신공학관 3189,250,122
신공학관 3193,250,181
신공학관 3194,249,248
신공학관 3층 남쪽 갈림길 A,107,109
신공학관 3층 남쪽 갈림길 B,253,67
신공학관 3층 남쪽 계단 B,253,67
신공학관 3층 남쪽 엘리베이터 (남쪽 계단 A),222,68
신공학관 3층 남쪽 코너 A,64,111
신공학관 3층 남쪽 코너 B,110,67
신공학관 3층 남쪽 코너 C,306,67
신공학관 3층 남쪽 코너 D,307,81
신공학관 3층 남쪽 코너 E,335,83
신공학관 3층 북쪽 갈림길 A,251,281
신공학관 3층 북쪽 갈림길 B,105,265
신공학관 3층 북쪽 계단,219,283
신공학관 3층 북쪽 코너 A,261,282
신공학관 3층 북쪽 코너 B,62,264
신공학관 3층 외부 출입구,261,317
신공학관 3층 중앙 계단,63,240
신공학관 3층 중앙 엘리베이터,84,266
신공학관 3층 화장실 갈림길 A,65,168
신공학관 3층 화장실 갈림길 B,109,168
신공학관 4105,114,234
신공학관 4109,114,222
신공학관 4110,114,147
신공학관 4115,190,72
신공학관 4127,174,119
신공학관 4133,174,257
신공학관 4137,255,290
신공학관 4142,279,290
신공학관 4147,115,289
신공학관 4157,174,87
신공학관 4159,174,87
신공학관 4161,225,71
신공학관 4층 남쪽 갈림길 A,174,71
신공학관 4층 남쪽 갈림길 B,289,68
신공학관 4층 남쪽 엘리베이터 (남쪽 계단 A),324,70
신공학관 4층 남쪽 코너 A,114,104
신공학관 4층 남쪽 코너 B,141,72
신공학관 4층 북쪽 갈림길,173,289
신공학관 4층 북쪽 계단,333,292
신공학관 4층 외부 코너 A,290,140
신공학관 4층 외부 코너 B,331,140
신공학관 4층 중앙 계단,114,261
신공학관 4층 중앙 엘리베이터,140,288
신공학관 4층 화장실 갈림길 A,114,184
신공학관 4층 화장실 갈림길 B,172,184
신공학관 5103,88,265
신공학관 5105,88,226
신공학관 5107,88,189
신공학관 5109,88,152
신공학관 5112,88,106
신공학관 5115,195,57
신공학관 5116,206,57
